Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Pennant Hills - Epping",5768,1182,11130,3656,2509,9738,16,1463,1423,2039,8668,47588,
"Ryde - Hunters Hill",13339,2388,28689,10640,9471,29384,39,5846,4504,8000,22234,134531,
"Bringelly - Green Valley",1845,579,8297,6810,11775,29278,74,8136,4366,7637,24013,102811,
"Fairfield",2432,747,13982,10855,16482,58502,207,22024,13246,12216,35112,185802,
"Liverpool",3569,870,11768,8569,12631,30881,81,8324,4523,9872,26268,117350,
"Cronulla - Miranda - Caringbah",4271,1738,14991,10499,15538,26169,45,5342,3938,7497,19815,109845,
"Sutherland - Menai - Heathcote",4255,1849,14375,10072,16081,25393,48,5132,3834,5269,21731,108038,
"Migratory - Offshore - Shipping (NSW)",9,0,33,29,59,121,0,43,16,77,39,419,
"No Usual Address (NSW)",369,118,1250,662,1412,2946,15,824,332,3611,741,12288,
"Ballarat",2762,2316,10738,7134,15027,26454,90,8588,1959,8781,19967,103819,
"Creswick - Daylesford - Ballan",818,650,2681,2247,4305,6653,19,2324,599,3137,4879,28309,
"Maryborough - Pyrenees",254,289,1351,1482,4174,6865,34,3044,550,3205,4119,25368,
"Bendigo",1919,1925,8891,6183,14470,23642,109,8238,2168,8694,18138,94384,
"Heathcote - Castlemaine - Kyneton",1607,1379,5250,3589,6677,10415,37,3510,1042,5566,8219,47292,
"Loddon - Elmore",97,151,648,676,1816,2970,19,1401,236,1453,1955,11419,
"Barwon - West",343,332,1674,1488,3337,4385,13,1366,381,1439,4263,19024,
"Geelong",4896,3339,19920,14238,27699,46967,146,16131,4366,16766,33711,188184,
"Surf Coast - Bellarine Peninsula",2336,1911,9638,6558,10307,15798,45,4098,1588,5609,13832,71725,
"Upper Goulburn Valley",752,796,3800,3909,8978,13729,45,5186,1262,6228,9169,53839,
"Wangaratta - Benalla",658,801,3574,3450,7420,11714,41,4474,1027,5001,7944,46103,
"Wodonga - Alpine",1235,1328,5720,5544,11852,17254,78,5535,1674,6737,13293,70244,
"Baw Baw",809,880,3780,3518,8433,11941,52,4374,1071,4461,9309,48629,
"Gippsland - East",529,677,3012,3190,7591,11595,49,4549,1130,5676,7153,45147,
"Gippsland - South West",951,1039,4674,4423,10247,15676,50,5834,1513,6762,10493,61665,
"Latrobe Valley",912,890,4673,4431,13113,18829,82,7217,1597,8116,13237,73099,
"Wellington",503,615,2928,2735,7309,10724,52,4156,938,5294,7621,42872,
"Brunswick - Coburg",7938,3292,19352,6019,6410,17165,27,5812,2479,5843,11928,86256,
"Darebin - South",4894,2349,11834,3531,3508,9071,8,3378,1353,3700,8441,52064,
"Essendon",4847,2182,13703,5020,5211,13988,25,3673,1826,5192,10929,66597,
"Melbourne City",15597,3294,38193,9132,5199,33713,30,2442,2938,16703,8730,135967,
"Port Phillip",9784,3470,25564,8491,7198,18079,28,3055,2334,11080,11789,100870,
"Stonnington - West",6376,1919,18488,5103,3383,11870,11,1730,1430,6374,5781,62467,
"Yarra",9741,3472,24207,5935,5048,15156,36,3396,2170,8510,9795,87453,
"Boroondara",17020,6066,41891,12169,7790,33723,29,6409,3640,9684,28805,167232,
"Manningham - West",6002,1990,16966,7287,6917,22024,30,6522,2961,5626,14052,90376,
"Whitehorse - West",8084,3030,20678,8574,6837,23997,37,5540,2786,6037,16443,102039,
"Bayside",7011,3073,20665,8389,6245,20568,21,4030,2306,6373,18416,97092,
"Glen Eira",12012,4480,32621,11717,10280,30778,37,6934,3650,8853,27081,148434,
"Kingston",4929,2753,17187,10430,13903,27968,52,6739,3130,8447,21281,116817,
"Stonnington - East",3995,1393,10670,3156,1967,8120,8,1564,951,2466,7082,41363,
"Banyule",7467,3763,20556,9685,12860,27112,52,7507,3025,7826,22011,121869,
"Darebin - North",5261,1992,13951,6869,8469,22285,58,8798,3153,8817,15004,94654,
"Nillumbik - Kinglake",2824,1989,9563,5732,8858,15351,19,3022,1384,3542,12832,65120,
"Whittlesea - Wallan",6289,2498,20503,15856,26732,55698,138,18454,6791,14749,46004,213712,
"Keilor",1863,1110,7817,4451,6738,14699,26,5573,1812,4420,10064,58565,
"Macedon Ranges",813,727,3319,2533,4494,6783,13,1654,675,2239,6313,29575,
"Moreland - North",3632,1392,9950,5373,7234,17511,46,7251,2497,6575,14053,75504,
"Sunbury",649,669,3326,3146,6765,10891,35,2527,957,2645,7751,39368,
"Tullamarine - Broadmeadows",3882,1421,12935,10782,17073,43809,152,15545,6266,11908,36584,160359,
"Knox",5718,2754,19926,13116,21206,41214,75,9789,4085,9208,27069,154154,
"Manningham - East",1259,713,4558,2226,2668,6232,9,1451,658,1504,4714,25989,
"Maroondah",4197,2652,14745,9628,14644,26980,67,6746,2975,6790,20513,109934,
"Whitehorse - East",4017,1641,11137,5220,5312,13995,20,3656,1733,3096,10953,60771,
"Yarra Ranges",3328,2898,14402,12750,25442,37890,102,9845,3484,10319,28306,148758,
"Cardinia",1630,1250,7128,7265,16111,23719,55,6509,2039,6825,21756,94289,
"Casey - North",3788,1645,13108,10639,17104,35525,101,9651,4226,8608,26735,131123,
"Casey - South",4174,1629,13965,13056,23152,43245,155,11124,5215,11344,41112,168178,
"Dandenong",6069,1792,19335,13478,17554,51701,178,18710,10199,14657,32966,186627,
"Monash",14116,3745,33198,13820,12513,43476,48,10473,4943,11133,27585,175055,
"Brimbank",4205,1596,18221,11979,18669,52962,140,19738,8099,15793,34423,185816,
"Hobsons Bay",3975,2016,12189,6176,9082,19666,46,6656,2456,6199,15546,84003,
"Maribyrnong",5546,2264,15650,6143,6273,18498,52,5250,2628,6791,13189,82285,
"Melton - Bacchus Marsh",3246,1730,13287,10617,20662,40066,125,10608,4096,11809,37189,153439,
"Wyndham",11922,2889,25860,16759,24323,51843,161,12904,5773,14852,54610,221898,
"Frankston",2416,2032,11408,11151,22257,35647,129,9154,3278,11645,25029,134144,
"Mornington Peninsula",3524,3005,15555,13616,24226,39516,114,10854,4051,13690,26840,154996,
"Grampians",613,763,3883,3851,8761,16002,63,6935,1387,6744,9827,58824,
"Mildura",483,618,3424,3092,7706,14473,74,6088,1387,6304,10231,53878,
"Murray River - Swan Hill",226,380,2098,1979,5296,10148,36,4592,829,5137,6621,37337,
"Campaspe",298,446,2258,2213,6117,9888,42,4305,752,4229,6675,37209,
"Moira",214,303,1547,1726,4621,7926,38,3441,655,3506,5133,29108,
"Shepparton",923,969,4328,3935,8753,16517,82,6775,1767,6949,12660,63652,
"Glenelg - Southern Grampians",391,479,2411,2218,5813,9568,43,4097,744,3857,5934,35562,
"Colac - Corangamite",411,445,2504,2331,5702,9880,37,4151,829,4119,6618,37038,
"Warrnambool",827,856,4472,3460,7519,12814,31,4598,995,5064,9474,50099,
"Migratory - Offshore - Shipping (Vic.)",0,0,4,4,13,3,0,0,0,5,4,26,
"No Usual Address (Vic.)",237,93,792,403,778,1679,15,479,212,2133,747,7572,
"Capalaba",1591,984,6979,5818,12191,20739,44,3732,1702,3925,13859,71572,
"Cleveland - Stradbroke",1839,1160,7515,7106,14121,23327,47,4570,2115,5768,15248,82817,
"Wynnum - Manly",2204,1181,8430,5536,9653,17961,23,3561,1605,4285,14260,68704,
"Bald Hills - Everton Park",1850,872,6220,3380,5117,10762,25,1727,966,2280,7593,40788,
"Chermside",2899,1500,11267,5517,8502,17412,33,3323,1572,4780,12268,69075,
"Nundah",1629,816,5919,3257,5091,10144,15,1753,941,2851,6254,38666,
"Sandgate",1819,956,7046,4736,8203,15349,43,3440,1416,4042,10942,57991,
"Carindale",2708,1305,9139,3946,5275,12239,14,2127,1099,3032,9290,50180,
"Holland Park - Yeronga",5426,2174,15949,5493,6515,15830,25,2221,1446,5273,10635,70977,
"Mt Gravatt",4623,1449,12522,5416,6771,18518,25,3157,1787,4298,12634,71206,
"Nathan",2773,960,6993,2817,3969,9273,14,1697,925,2424,7014,38868,
"Rocklea - Acacia Ridge",3297,723,8414,4379,6459,15855,31,2638,1672,3443,12604,59528,
"Sunnybank",3366,693,8267,3799,4323,13531,29,2430,1636,2871,8864,49806,
"Centenary",2092,816,5931,2777,3419,7722,4,921,774,1539,6520,32532,
"Kenmore - Brookfield - Moggill",4396,1406,9575,3653,3269,9439,15,1016,928,2162,9525,45369,
"Sherwood - Indooroopilly",5897,1448,12279,3110,2846,13213,3,933,864,2965,7518,51081,
"The Gap - Enoggera",2639,1402,8483,4198,5537,11962,15,1812,974,2593,10386,50009,
